name,top_n,stop_pct,min_trend,dd_exit,train_cagr,train_sharpe,train_maxdd,train_years,test_cagr,test_sharpe,test_maxdd,test_years,sharpe_decay,maxdd_inflate
T3_Stop8_Trend3_DD15,3,-8,3,15,-0.09,0.027,17.02,7.08,-4.53,-0.668,17.24,4.08,25.703,1.31
T3_Stop8_Trend3_DD20,3,-8,3,20,13.25,0.66,26.51,7.08,-5.17,-0.349,23.67,4.08,1.529,-10.73
T3_Stop8_Trend3_DD25,3,-8,3,25,13.25,0.66,26.51,7.08,-6.21,-0.429,27.03,4.08,1.65,1.97
T3_Stop8_Trend4_DD15,3,-8,4,15,8.88,0.562,28.0,7.08,1.77,0.192,17.62,4.08,0.658,-37.09
T3_Stop8_Trend4_DD20,3,-8,4,20,8.88,0.562,28.0,7.08,0.13,0.084,22.91,4.08,0.851,-18.19
T3_Stop8_Trend4_DD25,3,-8,4,25,8.88,0.562,28.0,7.08,-0.72,0.028,25.55,4.08,0.95,-8.78
T3_Stop10_Trend3_DD15,3,-10,3,15,-0.09,0.027,17.02,7.08,-4.53,-0.668,17.24,4.08,25.703,1.31
T3_Stop10_Trend3_DD20,3,-10,3,20,13.25,0.66,26.51,7.08,-5.17,-0.349,23.67,4.08,1.529,-10.73
T3_Stop10_Trend3_DD25,3,-10,3,25,13.25,0.66,26.51,7.08,-6.21,-0.429,27.03,4.08,1.65,1.97
T3_Stop10_Trend4_DD15,3,-10,4,15,8.88,0.562,28.0,7.08,1.77,0.192,17.62,4.08,0.658,-37.09
T3_Stop10_Trend4_DD20,3,-10,4,20,8.88,0.562,28.0,7.08,0.13,0.084,22.91,4.08,0.851,-18.19
T3_Stop10_Trend4_DD25,3,-10,4,25,8.88,0.562,28.0,7.08,-0.72,0.028,25.55,4.08,0.95,-8.78
T3_Stop15_Trend3_DD15,3,-15,3,15,-0.09,0.027,17.02,7.08,-4.53,-0.668,17.24,4.08,25.703,1.31
T3_Stop15_Trend3_DD20,3,-15,3,20,13.25,0.66,26.51,7.08,-5.16,-0.349,23.66,4.08,1.529,-10.74
T3_Stop15_Trend3_DD25,3,-15,3,25,13.25,0.66,26.51,7.08,-6.2,-0.429,27.03,4.08,1.65,1.96
T3_Stop15_Trend4_DD15,3,-15,4,15,8.88,0.562,28.0,7.08,1.77,0.192,17.61,4.08,0.658,-37.1
T3_Stop15_Trend4_DD20,3,-15,4,20,8.88,0.562,28.0,7.08,0.13,0.084,22.91,4.08,0.851,-18.2
T3_Stop15_Trend4_DD25,3,-15,4,25,8.88,0.562,28.0,7.08,-0.72,0.028,25.54,4.08,0.95,-8.79
T5_Stop8_Trend3_DD15,5,-8,3,15,16.74,0.989,23.03,7.08,-4.24,-0.632,16.21,4.08,1.638,-29.63
T5_Stop8_Trend3_DD20,5,-8,3,20,16.74,0.989,23.03,7.08,1.02,0.143,21.59,4.08,0.856,-6.28
T5_Stop8_Trend3_DD25,5,-8,3,25,15.8,0.933,27.33,7.08,-0.64,0.042,26.7,4.08,0.955,-2.28
T5_Stop8_Trend4_DD15,5,-8,4,15,18.59,1.004,21.44,7.08,5.49,0.403,16.28,4.08,0.599,-24.06
T5_Stop8_Trend4_DD20,5,-8,4,20,18.59,1.004,21.44,7.08,4.0,0.315,21.01,4.08,0.687,-1.99
T5_Stop8_Trend4_DD25,5,-8,4,25,17.37,0.938,26.98,7.08,2.39,0.222,25.89,4.08,0.763,-4.06
T5_Stop10_Trend3_DD15,5,-10,3,15,16.74,0.989,23.03,7.08,-4.24,-0.632,16.21,4.08,1.638,-29.63
T5_Stop10_Trend3_DD20,5,-10,3,20,16.74,0.989,23.03,7.08,1.02,0.143,21.59,4.08,0.856,-6.28
T5_Stop10_Trend3_DD25,5,-10,3,25,15.8,0.933,27.33,7.08,-0.64,0.042,26.7,4.08,0.955,-2.28
T5_Stop10_Trend4_DD15,5,-10,4,15,18.59,1.004,21.44,7.08,5.49,0.403,16.28,4.08,0.599,-24.06
T5_Stop10_Trend4_DD20,5,-10,4,20,18.59,1.004,21.44,7.08,4.0,0.315,21.01,4.08,0.687,-1.99
T5_Stop10_Trend4_DD25,5,-10,4,25,17.37,0.938,26.98,7.08,2.39,0.222,25.89,4.08,0.763,-4.06
T5_Stop15_Trend3_DD15,5,-15,3,15,16.74,0.989,23.03,7.08,-4.24,-0.632,16.21,4.08,1.638,-29.63
T5_Stop15_Trend3_DD20,5,-15,3,20,16.74,0.989,23.03,7.08,1.02,0.143,21.58,4.08,0.855,-6.29
T5_Stop15_Trend3_DD25,5,-15,3,25,15.8,0.933,27.33,7.08,-0.63,0.042,26.7,4.08,0.955,-2.29
T5_Stop15_Trend4_DD15,5,-15,4,15,18.59,1.004,21.44,7.08,5.5,0.403,16.28,4.08,0.599,-24.07
T5_Stop15_Trend4_DD20,5,-15,4,20,18.59,1.004,21.44,7.08,4.0,0.315,21.01,4.08,0.686,-2.0
T5_Stop15_Trend4_DD25,5,-15,4,25,17.37,0.938,26.98,7.08,2.39,0.222,25.88,4.08,0.763,-4.07
T8_Stop8_Trend3_DD15,8,-8,3,15,12.78,0.856,19.68,7.08,0.98,0.138,17.49,4.08,0.839,-11.12
T8_Stop8_Trend3_DD20,8,-8,3,20,11.67,0.781,25.13,7.08,0.02,0.07,20.64,4.08,0.91,-17.89
T8_Stop8_Trend3_DD25,8,-8,3,25,11.67,0.781,25.13,7.08,-0.11,0.094,27.69,4.08,0.879,10.18
T8_Stop8_Trend4_DD15,8,-8,4,15,11.01,0.686,19.44,7.08,0.38,0.092,17.01,4.08,0.865,-12.5
T8_Stop8_Trend4_DD20,8,-8,4,20,9.42,0.592,27.26,7.08,-1.01,-0.021,21.59,4.08,1.036,-20.78
T8_Stop8_Trend4_DD25,8,-8,4,25,9.42,0.592,27.26,7.08,-0.94,0.056,27.83,4.08,0.906,2.1
T8_Stop10_Trend3_DD15,8,-10,3,15,12.78,0.856,19.67,7.08,0.98,0.138,17.49,4.08,0.839,-11.1
T8_Stop10_Trend3_DD20,8,-10,3,20,11.67,0.781,25.13,7.08,0.02,0.07,20.64,4.08,0.91,-17.88
T8_Stop10_Trend3_DD25,8,-10,3,25,11.67,0.781,25.13,7.08,-0.11,0.094,27.69,4.08,0.879,10.2
T8_Stop10_Trend4_DD15,8,-10,4,15,11.01,0.686,19.44,7.08,0.38,0.092,17.01,4.08,0.865,-12.5
T8_Stop10_Trend4_DD20,8,-10,4,20,9.42,0.592,27.26,7.08,-1.01,-0.021,21.59,4.08,1.036,-20.78
T8_Stop10_Trend4_DD25,8,-10,4,25,9.42,0.592,27.26,7.08,-0.94,0.056,27.83,4.08,0.906,2.1
T8_Stop15_Trend3_DD15,8,-15,3,15,12.78,0.856,19.67,7.08,0.98,0.138,17.49,4.08,0.838,-11.11
T8_Stop15_Trend3_DD20,8,-15,3,20,11.67,0.781,25.13,7.08,0.03,0.07,20.64,4.08,0.91,-17.89
T8_Stop15_Trend3_DD25,8,-15,3,25,11.67,0.781,25.13,7.08,-0.1,0.094,27.69,4.08,0.879,10.19
T8_Stop15_Trend4_DD15,8,-15,4,15,11.01,0.686,19.44,7.08,0.38,0.093,17.01,4.08,0.865,-12.51
T8_Stop15_Trend4_DD20,8,-15,4,20,9.42,0.592,27.26,7.08,-1.0,-0.021,21.59,4.08,1.036,-20.79
T8_Stop15_Trend4_DD25,8,-15,4,25,9.42,0.592,27.26,7.08,-0.94,0.056,27.83,4.08,0.906,2.08
